sheet,col,n,mean,median,min,max,std
асс пл,10,30,6.278373613708133,6.304537811018246,1.390144094149068,14.132182416626122,2.9240987747548464
асс пл,11,30,13.56677437742339,13.712819936081797,2.585150459058024,27.22752687249297,6.182080352559194
асс пл,6,25,0.031336,0.0311,0.0183,0.0434,0.006574306351243453
асс пл,7,25,0.030892,0.03,0.018,0.0469,0.008303103997903434
сух в-во,15,26,16.530515384615384,15.44385,4.0,26.3833,3.799047025615797
сух в-во,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
сух в-во,4,45,17.21884,16.1194,12.5662,27.8204,3.398183769760939
сух в-во,5,45,21.633155555555554,21.0619,16.595,33.1055,3.804582544047262
сух в-во,6,45,17.489326666666667,16.5079,12.7765,28.2069,3.412247077897822
сух в-во,7,45,6.239610297803867,5.895054323611084,3.5574431607863155,9.683262740083608,1.7914844448334588
сух в-во,8,45,93.76038970219614,94.10494567638892,90.3167372599164,96.44255683921368,1.7914844448334575
сух в-во,12,25,63.44,17.0,2.0,580.0,127.90686611749973
сух в-во,13,25,16.799088,15.3266,12.5694,26.263,2.9190592513780875
сух в-во,14,25,22.0826,20.9673,16.519,29.7295,3.7081321314106384
сух в-во,16,25,4.377361072115581,4.288636523947273,2.5713384281006646,6.881482275330732,0.9208157480058916
сух в-во,17,25,95.62263892788442,95.71136347605272,93.11851772466927,97.42866157189934,0.9208157480058903
сух в-во,3,19,126.57894736842105,27.0,4.0,580.0,182.06052081930676
водный деф,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
водный деф,3,30,5.887396666666667,4.105,2.29,20.61,3.717054774996223
водный деф,4,30,100.06666666666666,23.0,3.0,643.0,172.023435095984
водный деф,5,30,17.781026666666666,16.650799999999997,14.3959,27.9091,3.694250187695588
водный деф,6,30,24.680673333333335,23.8838,17.5373,42.7927,6.565525842252766
водный деф,7,30,18.09522,17.047649999999997,14.5725,28.5925,3.73020712735008
водный деф,8,30,6.8996466666666665,4.654750000000002,2.403599999999999,25.604600000000005,4.940599238940782
водный деф,9,30,0.3141933333333335,0.23280000000000012,0.0948999999999991,1.2957,0.23990461289622764
водный деф,10,30,4.648800279118233,4.614683393573902,2.7503213977112555,7.602610666593834,1.1850883192134618
водный деф,11,30,6.585453333333334,4.4921500000000005,2.279099999999998,24.308900000000005,4.7121053987033115
водный деф,12,30,5.573203333333333,3.9212000000000007,2.165499999999999,19.3143,3.4894672373189324
водный деф,13,30,8.899134982984659,10.041430221096796,-50.96711422455727,37.41582236243403,18.658213181540138
водный деф,14,30,91.10086501701534,89.95856977890321,62.58417763756597,150.96711422455726,18.658213181540138
водный деф,17,25,6.938,6.51,2.82,13.5,2.212705131733553
водный деф,18,25,108.8,55.0,1.0,444.0,113.95402581743218
водный деф,19,25,18.152644,17.2692,14.441,27.9799,3.620773730470326
водный деф,20,25,25.844204,25.9947,18.8119,36.448,4.200731199634654
водный деф,21,25,18.463716,17.6387,14.7142,28.4573,3.6391003349377438
водный деф,22,25,7.69156,7.264799999999999,3.0717,13.893699999999999,2.273627947752226
водный деф,23,25,0.3110719999999999,0.29660000000000153,0.08190000000000097,0.660899999999998,0.1364858103100827
водный деф,24,25,3.932515645833875,3.9615482719040926,2.060492049028542,5.70436343092618,0.9355878471346593
водный деф,25,25,7.380488000000001,6.973500000000001,2.989799999999999,13.232800000000001,2.153346843463914
водный деф,26,25,6.626928,6.256400000000003,2.738099999999999,12.839100000000002,2.093368674747953
водный деф,27,25,10.617444978640755,10.670119349965976,2.975182878906951,18.87564737985188,4.457651514866282
водный деф,28,25,89.38255502135924,89.32988065003403,81.12435262014812,97.02481712109305,4.457651514866284
водоудерж способ,4,11,3.491309090909091,2.9741,1.833,6.5488,1.3777513052101473
водоудерж способ,5,11,3.6625454545454543,3.1564,2.8251,5.643,0.9153595293292599
водоудерж способ,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
водоудерж способ,3,10,3.04813,2.3920000000000003,2.034,5.5467,1.101014100772556
водоудерж способ,6,30,8.222456666666666,7.8187,2.95,18.68,4.16405667057845
водоудерж способ,7,30,5.124696666666667,4.4154,0.9363000000000028,13.5701,3.250349499513689
водоудерж способ,8,30,86.16666666666667,19.5,2.0,580.0,151.93684726081278
водоудерж способ,9,30,16.879476666666665,15.666450000000001,12.5666,27.7811,3.376146628498564
водоудерж способ,10,30,22.004173333333334,20.21465,14.6662,34.9631,5.009607295715791
водоудерж способ,11,30,17.310663333333334,16.19055,12.7081,27.9783,3.4158722266778203
водоудерж способ,12,30,9.335539042617725,8.96607192251467,5.565316600114092,16.768129872903938,2.960308394882742
водоудерж способ,13,30,94.75895531628255,94.98791935514392,92.3265306122449,96.51601423487544,1.0165992451685455
водоудерж способ,14,30,54.72098188653761,57.93812785309525,22.872222222222206,78.21698121216752,14.247921830969567
водоудерж способ,15,30,40.037973429744945,36.00944144079949,16.876788155090892,73.05694444444448,14.329604982605483
водоудерж способ,18,25,6.83,6.45,2.62,11.85,2.2931794522016804
водоудерж способ,19,25,4.7286,4.6602,1.305299999999999,8.3946,1.958436645898968
водоудерж способ,20,25,60.32,21.0,2.0,580.0,122.3378011899838
водоудерж способ,21,25,16.332196,15.3322,12.5675,27.6934,3.043484388720271
водоудерж способ,22,25,21.060796,20.9791,15.8054,32.5895,3.2882431767106275
водоудерж способ,23,25,16.640904,15.642,12.7876,28.0253,3.0266010196892488
водоудерж способ,24,25,6.676402134442042,6.690100191145717,4.3189561715966915,9.036841235750833,1.2235555330686958
водоудерж способ,25,25,95.60222152681139,95.73766233766236,94.43272171253821,97.16961130742055,0.7004036459352111
водоудерж способ,26,25,62.81719029187033,64.40661157024793,42.903896103896145,77.54371002132193,11.332831831282439
водоудерж способ,27,25,32.78503123494106,31.391735537190073,16.89658848614077,53.87632508833925,11.62351078654431
хранение,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
хранение,3,30,18.551666666666666,18.134999999999998,10.28,32.6,5.863428509744865
хранение,4,30,19.112333333333332,20.035,10.61,33.77,6.059651630984152
хранение,5,30,18.832,18.89,10.614999999999998,31.475,5.668173221300375
хранение,6,30,16.651,16.475,8.29,31.38,5.734670202664956
хранение,7,30,18.008,18.805,8.35,32.93,6.120159801835243
хранение,8,30,17.3295,17.052500000000002,8.32,30.545,5.620309058821113
хранение,9,30,8.426034824778128,4.539752768290143,2.6492287055667276,30.078740157480325,6.889273226200496
органолептика,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
