relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
2,2026-04-01 09:43:42,th-1,humidity,31.4,31.0,31.08888888888889,-0.3999999999999986,-0.31111111111111,30,30,90
2,2026-04-01 09:43:42,th-2,temperature,26.343333333333334,26.776666666666667,27.087777777777777,0.43333333333333357,0.7444444444444436,30,30,90
2,2026-04-01 09:43:42,th-2,humidity,32.0,32.0,31.666666666666668,0.0,-0.33333333333333215,30,30,90
2,2026-04-01 09:43:42,co2-1,temperature,26.296666666666667,26.563333333333333,26.895555555555557,0.2666666666666657,0.5988888888888901,30,30,90
2,2026-04-01 09:43:42,co2-1,humidity,37.43333333333333,36.806666666666665,36.98444444444444,-0.6266666666666652,-0.448888888888888,30,30,90
2,2026-04-01 09:43:42,co2-1,co2,374.8,379.93333333333334,402.7888888888889,5.133333333333326,27.98888888888888,30,30,90
1,2026-04-01 09:46:13,th-1,temperature,26.083333333333332,26.43,26.797777777777778,0.34666666666666757,0.714444444444446,30,30,90
1,2026-04-01 09:46:13,th-1,humidity,31.4,31.0,31.1,-0.3999999999999986,-0.29999999999999716,30,30,90
1,2026-04-01 09:46:13,th-2,temperature,26.386666666666667,26.79,27.094444444444445,0.40333333333333243,0.7077777777777783,30,30,90
1,2026-04-01 09:46:13,th-2,humidity,32.0,32.0,31.666666666666668,0.0,-0.33333333333333215,30,30,90
1,2026-04-01 09:46:13,co2-1,temperature,26.333333333333332,26.573333333333334,26.9,0.240000000000002,0.5666666666666664,30,30,90
1,2026-04-01 09:46:13,co2-1,humidity,37.406666666666666,36.8,37.00666666666667,-0.6066666666666691,-0.3999999999999986,30,30,90
1,2026-04-01 09:46:13,co2-1,co2,375.76666666666665,378.6333333333333,402.94444444444446,2.8666666666666742,27.177777777777806,30,30,90
11,2026-04-01 16:35:34,th-1,temperature,27.406666666666666,26.576666666666668,26.464444444444446,-0.8299999999999983,-0.9422222222222203,30,30,90
11,2026-04-01 16:35:34,th-1,humidity,30.066666666666666,29.3,29.11111111111111,-0.7666666666666657,-0.9555555555555557,30,30,90
11,2026-04-01 16:35:34,th-2,temperature,27.743333333333332,26.81,26.67111111111111,-0.9333333333333336,-1.0722222222222229,30,30,90
11,2026-04-01 16:35:34,th-2,humidity,30.466666666666665,30.166666666666668,29.477777777777778,-0.29999999999999716,-0.9888888888888872,30,30,90
11,2026-04-01 16:35:34,co2-1,temperature,27.37333333333333,27.30666666666667,26.944444444444443,-0.06666666666666288,-0.42888888888888843,30,30,90
11,2026-04-01 16:35:34,co2-1,humidity,36.083333333333336,35.52333333333333,35.29555555555555,-0.5600000000000023,-0.7877777777777837,30,30,90
11,2026-04-01 16:35:34,co2-1,co2,572.4333333333333,516.5333333333333,385.9111111111111,-55.89999999999998,-186.52222222222218,30,30,90
9,2026-04-01 16:35:34,th-1,temperature,27.406666666666666,26.576666666666668,26.464444444444446,-0.8299999999999983,-0.9422222222222203,30,30,90
9,2026-04-01 16:35:34,th-1,humidity,30.066666666666666,29.3,29.11111111111111,-0.7666666666666657,-0.9555555555555557,30,30,90
